subjID	trial_number	RT	prob	reward_var	reward_fix	outcome	types	ambig	choice
3	85	717	0.5	94	50	50	ambiguous	0.25	0
3	86	537	0.5	342	50	0	ambiguous	0.5	1
3	87	1530	0.5	94	50	50	ambiguous	0.75	0
3	88	1024	0.25	51	50	0	low	0	0
3	89	375	0.5	653	50	653	ambiguous	0.25	1
3	90	777	0.125	50	50	0	low	0	0
4	1	940	0.5	339	50	339	ambiguous	0.75	1
4	2	3222	0.5	337	50	337	ambiguous	0.75	1
4	3	1295	0.25	184	50	0	low	0	1
4	4	1943	0.5	182	50	0	ambiguous	0.25	1
4	5	1176	0.375	652	50	652	low	0	1
4	6	918	0.5	337	50	0	ambiguous	0.25	1
4	7	1404	0.25	99	50	0	low	0	1
4	8	1259	0.125	52	50	0	low	0	1
4	9	1847	0.125	337	50	0	low	0	1
4	10	952	0.5	182	50	182	ambiguous	0.75	1
4	11	1341	0.5	52	50	0	ambiguous	0.25	1
4	12	2206	0.5	93	50	0	ambiguous	0.75	1
4	13	4242	0.375	182	50	0	low	0	1
4	14	13020	0.125	339	50	0	low	0	0
4	15	1142	0.375	179	50	0	low	0	1
4	16	1633	0.5	339	50	0	ambiguous	0.5	1
4	17	1077	0.25	94	50	50	low	0	0
4	18	2892	0.5	48	50	0	ambiguous	0.75	0
4	19	524	0.5	652	50	652	ambiguous	0.5	1
4	20	797	0.5	337	50	337	ambiguous	0.5	1
4	21	1576	0.5	650	50	650	ambiguous	0.5	1
4	22	1018	0.25	339	50	0	low	0	1
4	23	1626	0.25	339	50	0	low	0	1
4	24	766	0.5	94	50	0	ambiguous	0.25	1
4	25	1089	0.5	94	50	94	ambiguous	0.75	1
4	26	546	0.5	650	50	650	ambiguous	0.75	1
4	27	982	0.125	93	50	0	low	0	0
4	28	1950	0.125	650	50	650	low	0	1
4	29	663	0.125	179	50	0	low	0	1
4	30	482	0.375	650	50	650	low	0	1
4	31	634	0.25	337	50	337	low	0	1
4	32	466	0.5	94	50	94	ambiguous	0.5	1
4	33	1844	0.25	182	50	0	low	0	1
4	34	576	0.375	339	50	0	low	0	1
4	35	618	0.125	182	50	50	low	0	0
4	36	659	0.5	48	50	0	ambiguous	0.75	0
4	37	389	0.125	652	50	0	low	0	1
4	38	1116	0.375	99	50	0	low	0	1
4	39	2504	0.25	93	50	0	low	0	1
4	40	374	0.5	650	50	650	ambiguous	0.25	1
4	41	342	0.5	179	50	179	ambiguous	0.5	1
4	42	409	0.375	48	50	48	low	0	1
4	43	2010	0.125	48	50	50	low	0	0
4	44	445	0.5	179	50	0	ambiguous	0.25	1
4	45	412	0.5	184	50	184	ambiguous	0.25	1
4	46	404	0.375	650	50	0	low	0	1
4	47	392	0.125	184	50	50	low	0	0
4	48	1678	0.125	339	50	339	low	0	1
4	49	428	0.5	339	50	0	ambiguous	0.75	1
4	50	385	0.5	99	50	99	ambiguous	0.25	1
4	51	370	0.5	93	50	93	ambiguous	0.25	1
4	52	537	0.25	48	50	50	low	0	0
4	53	1625	0.5	52	50	0	ambiguous	0.5	1
4	54	355	0.25	650	50	0	low	0	1
4	55	400	0.25	650	50	650	low	0	1
4	56	381	0.5	48	50	50	ambiguous	0.5	0
4	57	339	0.5	339	50	339	ambiguous	0.25	1
4	58	320	0.375	339	50	0	low	0	1
4	59	375	0.375	48	50	50	low	0	0
4	60	525	0.5	184	50	184	ambiguous	0.75	1
4	61	1071	0.125	99	50	50	low	0	0
4	62	1389	0.5	652	50	652	ambiguous	0.75	1
4	63	359	0.5	652	50	0	ambiguous	0.25	1
4	64	412	0.375	337	50	0	low	0	1
4	65	434	0.5	650	50	0	ambiguous	0.75	1
4	66	566	0.5	339	50	0	ambiguous	0.5	1
4	67	875	0.375	94	50	0	low	0	1
4	68	361	0.375	93	50	93	low	0	1
4	69	381	0.125	48	50	0	low	0	0
4	70	671	0.5	650	50	650	ambiguous	0.5	1
4	71	900	0.25	48	50	0	low	0	0
4	72	394	0.5	48	50	0	ambiguous	0.25	0
4	73	294	0.5	179	50	0	ambiguous	0.75	1
4	74	249	0.5	93	50	93	ambiguous	0.5	1
4	75	341	0.375	184	50	0	low	0	1
4	76	1096	0.5	182	50	0	ambiguous	0.5	1
4	77	1049	0.25	52	50	0	low	0	0
4	78	339	0.5	48	50	0	ambiguous	0.25	0
4	79	418	0.5	650	50	0	ambiguous	0.25	1
4	80	415	0.375	52	50	50	low	0	0
4	81	354	0.5	339	50	0	ambiguous	0.25	1
4	82	1097	0.25	652	50	0	low	0	1
4	83	580	0.125	94	50	50	low	0	0
4	84	360	0.5	99	50	0	ambiguous	0.5	1
4	85	1281	0.25	179	50	0	low	0	1
4	86	642	0.125	650	50	0	low	0	1
4	87	279	0.5	99	50	0	ambiguous	0.75	1
4	88	926	0.5	52	50	0	ambiguous	0.75	0
4	89	906	0.5	48	50	0	ambiguous	0.5	0
4	90	326	0.5	184	50	0	ambiguous	0.5	1
5	1	459	0.5	340	50	340	ambiguous	0.5	1
5	2	762	0.5	52	50	0	ambiguous	0.5	0
5	3	623	0.5	97	50	97	ambiguous	0.75	1
5	4	722	0.5	337	50	337	ambiguous	0.5	1
5	5	1220	0.5	183	50	0	ambiguous	0.25	1
5	6	983	0.25	52	50	0	low	0	0
5	7	919	0.375	650	50	0	low	0	1
5	8	802	0.375	183	50	183	low	0	1
5	9	834	0.5	339	50	339	ambiguous	0.75	1
5	10	810	0.5	52	50	0	ambiguous	0.75	0
5	11	657	0.5	649	50	649	ambiguous	0.75	1
5	12	801	0.25	650	50	0	low	0	1
5	13	803	0.5	50	50	50	ambiguous	0.75	0
5	14	839	0.125	50	50	0	low	0	0
5	15	824	0.125	50	50	0	low	0	0
5	16	950	0.5	50	50	50	ambiguous	0.25	0
5	17	870	0.5	183	50	183	ambiguous	0.5	1
5	18	776	0.375	92	50	92	low	0	1
5	19	854	0.125	97	50	50	low	0	0
5	20	760	0.5	92	50	92	ambiguous	0.75	1
5	21	713	0.125	649	50	0	low	0	1
5	22	821	0.5	337	50	337	ambiguous	0.25	1
5	23	810	0.5	650	50	0	ambiguous	0.75	1
5	24	1050	0.375	340	50	0	low	0	1
5	25	928	0.375	654	50	0	low	0	1
5	26	725	0.5	50	50	50	ambiguous	0.75	0
5	27	728	0.25	337	50	0	low	0	1
5	28	657	0.5	654	50	654	ambiguous	0.25	1
5	29	703	0.5	92	50	92	ambiguous	0.5	1
5	30	823	0.375	183	50	183	low	0	1
5	31	852	0.5	99	50	0	ambiguous	0.5	1
5	32	638	0.5	649	50	649	ambiguous	0.5	1
5	33	861	0.5	339	50	0	ambiguous	0.5	1
5	34	768	0.375	184	50	184	low	0	1
5	35	641	0.25	340	50	0	low	0	0
5	36	741	0.375	339	50	339	low	0	1
5	37	829	0.5	183	50	183	ambiguous	0.5	1
5	38	782	0.5	340	50	0	ambiguous	0.75	1
5	39	909	0.5	97	50	97	ambiguous	0.5	1
5	40	736	0.125	654	50	0	low	0	0
5	41	883	0.5	649	50	649	ambiguous	0.25	1
5	42	681	0.25	97	50	50	low	0	0
5	43	893	0.25	92	50	0	low	0	1
5	44	810	0.375	50	50	50	low	0	0
5	45	1219	0.5	52	50	0	ambiguous	0.25	0
5	46	911	0.25	649	50	50	low	0	0
5	47	781	0.5	340	50	0	ambiguous	0.25	1
5	48	763	0.375	337	50	0	low	0	1
5	49	810	0.5	184	50	184	ambiguous	0.5	1
5	50	756	0.25	654	50	50	low	0	0
5	51	735	0.375	97	50	0	low	0	1
5	52	728	0.375	649	50	0	low	0	1
5	53	1035	0.5	337	50	0	ambiguous	0.75	1
5	54	743	0.5	183	50	183	ambiguous	0.25	1
5	55	857	0.5	99	50	50	ambiguous	0.75	0
5	56	742	0.5	339	50	339	ambiguous	0.25	1
5	57	652	0.5	650	50	0	ambiguous	0.5	1
5	58	777	0.5	92	50	0	ambiguous	0.25	1
5	59	837	0.5	50	50	50	ambiguous	0.25	0
5	60	775	0.5	50	50	50	ambiguous	0.5	0
5	61	872	0.25	183	50	50	low	0	0
5	62	789	0.5	654	50	654	ambiguous	0.75	1
5	63	793	0.375	99	50	0	low	0	1
5	64	888	0.125	650	50	50	low	0	0
